age,height,weight,gender,status
7,94,20,F,fit
9,117,18,F,not_fit
20,181,102,M,not_fit
6,112,34,F,not_fit
11,149,39,F,fit
36,162,79,F,not_fit
22,156,74,M,not_fit
24,184,109,F,not_fit
28,168,78,F,not_fit
32,150,81,M,not_fit
20,169,47,F,fit
32,187,79,F,fit
28,179,89,F,not_fit
14,137,70,F,not_fit
12,174,54,M,fit
5,113,22,F,fit
34,181,91,F,not_fit
27,186,77,M,fit
5,97,26,M,not_fit
5,123,26,M,fit
31,182,98,F,not_fit
29,176,69,M,fit
33,173,91,M,not_fit
8,119,25,F,fit
5,130,16,M,not_fit
5,118,33,M,fit
33,152,67,F,not_fit
9,106,26,F,fit
26,181,83,F,not_fit
14,168,46,M,fit
20,162,107,M,not_fit
26,190,65,M,fit
10,178,40,F,not_fit
26,173,80,F,not_fit
9,107,34,F,not_fit
40,171,85,F,not_fit
34,183,82,F,fit
36,153,90,M,not_fit
40,151,83,M,not_fit
27,151,48,F,fit
5,135,33,F,fit
7,116,20,M,fit
17,137,54,F,not_fit
5,105,20,F,fit
8,92,23,M,not_fit
36,184,90,F,not_fit
30,186,82,F,fit
27,174,61,M,fit
19,175,60,M,fit
40,183,83,M,fit
34,164,52,M,fit
37,159,74,F,not_fit
15,147,38,F,fit
11,153,42,F,fit
17,179,42,F,not_fit
12,169,54,F,fit
33,153,109,M,not_fit
35,184,89,F,not_fit
31,151,75,M,not_fit
30,156,61,M,not_fit
16,171,47,M,fit
12,138,44,M,fit
11,146,70,F,not_fit
34,173,63,F,fit
9,132,33,M,fit
33,174,77,M,not_fit
38,166,104,M,not_fit
16,169,37,M,not_fit
6,107,31,M,not_fit
28,179,100,M,not_fit
12,134,48,F,not_fit
33,154,48,M,fit
36,183,93,M,not_fit
14,166,64,F,fit
28,152,102,F,not_fit
36,157,86,F,not_fit
23,154,53,M,fit
27,167,59,F,fit
33,168,106,M,not_fit
10,134,63,F,not_fit
31,153,100,M,not_fit
34,162,73,F,not_fit
24,155,93,F,not_fit
9,112,20,F,fit
7,128,30,F,fit
10,134,51,F,not_fit
9,134,33,F,fit
37,179,104,M,not_fit
19,161,83,M,not_fit
12,164,49,M,fit
11,180,62,F,fit
17,176,42,M,not_fit
19,190,94,M,not_fit
16,158,35,M,fit
11,148,47,M,fit
28,165,83,M,not_fit
18,165,96,M,not_fit
22,151,77,F,not_fit
32,189,97,M,not_fit
23,164,54,M,fit
16,163,32,F,not_fit
29,177,78,F,fit
11,133,34,M,fit
31,156,100,M,not_fit
7,108,22,M,fit
33,171,109,M,not_fit
25,190,93,M,not_fit
19,173,80,F,not_fit
21,163,48,F,fit
20,186,106,M,not_fit
14,179,33,M,not_fit
33,181,98,F,not_fit
21,184,47,F,not_fit
19,154,103,F,not_fit
7,134,18,M,not_fit
39,154,50,F,fit
18,177,57,M,fit
11,137,47,M,not_fit
14,149,40,M,fit
32,158,84,F,not_fit
19,174,87,M,not_fit
30,159,75,F,not_fit
24,168,77,F,not_fit
12,176,45,F,fit
20,184,107,M,not_fit
33,153,55,F,fit
33,183,82,F,fit
9,98,14,M,fit
35,176,92,M,not_fit
38,152,78,M,not_fit
34,163,83,F,not_fit
39,171,96,F,not_fit
7,109,26,M,fit
8,123,26,F,fit
24,189,84,M,fit
7,98,26,F,not_fit
14,159,62,M,fit
21,189,79,F,fit
26,172,60,F,fit
21,178,90,F,not_fit
24,181,58,F,fit
15,146,44,F,fit
18,183,64,M,fit
18,152,46,M,fit
28,152,58,F,not_fit
8,102,13,M,not_fit
25,164,80,M,not_fit
14,147,38,M,fit
39,164,84,F,not_fit
14,138,55,F,not_fit
24,187,67,M,fit
18,154,83,F,not_fit
26,165,92,M,not_fit
5,99,34,M,not_fit
40,160,107,M,not_fit
39,173,56,M,fit
36,162,56,M,fit
10,136,64,F,not_fit
11,173,31,M,not_fit
40,154,83,F,not_fit
33,152,104,M,not_fit
9,122,17,M,not_fit
11,166,56,M,fit
16,130,45,F,not_fit
11,175,51,F,fit
32,183,58,M,fit
31,162,66,F,not_fit
40,185,90,F,not_fit
16,178,58,F,fit
37,168,101,M,not_fit
34,160,46,F,fit
10,169,42,M,fit
22,173,85,F,not_fit
21,158,95,F,not_fit
12,145,33,F,fit
19,188,68,F,fit
32,152,49,M,fit
7,121,28,M,fit
9,127,20,F,not_fit
20,163,86,F,not_fit
14,135,40,F,fit
35,155,50,M,fit
11,134,47,M,not_fit
33,182,87,M,not_fit
21,183,49,M,fit
40,152,66,F,not_fit
39,180,62,M,fit
6,102,13,F,not_fit
8,97,30,F,not_fit
6,102,24,F,fit
11,145,66,F,not_fit
36,166,81,F,not_fit
6,115,13,F,not_fit
23,168,71,F,not_fit
20,162,90,M,not_fit
8,119,28,M,fit
27,190,59,F,fit
25,174,94,F,not_fit
15,173,66,M,fit
24,169,95,M,not_fit
8,95,29,M,not_fit
14,175,69,F,fit
20,174,45,F,fit
39,190,108,F,not_fit
28,171,59,M,fit
36,176,73,F,fit
24,172,87,M,not_fit
28,158,62,F,fit
16,144,35,M,fit
13,175,52,F,fit
25,171,90,F,not_fit
19,167,104,F,not_fit
15,137,70,F,not_fit
14,161,51,M,fit
40,155,70,M,not_fit
22,161,71,F,not_fit
9,125,22,M,fit
12,161,35,F,not_fit
28,168,83,F,not_fit
24,157,70,M,not_fit
39,169,98,M,not_fit
21,158,56,F,fit
7,96,35,F,not_fit
12,178,51,M,fit
25,152,104,M,not_fit
31,176,61,M,fit
8,103,12,M,not_fit
19,190,98,F,not_fit
32,179,91,M,not_fit
37,155,49,M,fit
31,179,79,F,fit
28,158,61,M,fit
19,176,59,F,fit
23,164,80,M,not_fit
5,115,34,M,not_fit
39,166,110,F,not_fit
33,151,62,M,not_fit
26,150,98,M,not_fit
34,177,61,F,fit
5,123,19,F,not_fit
40,171,80,M,not_fit
32,178,89,M,not_fit
15,166,63,F,fit
26,157,81,M,not_fit
8,129,12,F,not_fit
13,145,52,M,fit
36,174,67,M,fit
20,152,51,F,fit
23,181,92,F,not_fit
26,175,64,M,fit
16,146,52,M,fit
32,190,47,M,not_fit
27,172,73,F,fit
10,163,62,F,fit
16,140,56,M,not_fit
16,147,37,M,fit
29,169,77,F,not_fit
37,162,101,F,not_fit
28,158,66,F,not_fit
19,172,53,M,fit
28,180,86,F,not_fit
40,183,105,M,not_fit
34,166,72,M,not_fit
18,155,50,M,fit
34,166,100,M,not_fit
21,181,95,M,not_fit
20,156,53,F,fit
29,176,81,F,not_fit
35,185,100,F,not_fit
7,104,21,M,fit
40,172,61,M,fit
36,180,56,F,fit
18,171,80,F,not_fit
29,153,56,F,fit
6,111,18,M,fit
21,186,96,F,not_fit
16,153,32,F,not_fit
30,179,64,F,fit
10,165,54,F,fit
29,171,99,F,not_fit
23,168,74,M,not_fit
15,132,68,F,not_fit
29,181,99,M,not_fit
20,185,68,F,fit
17,138,52,M,not_fit
35,179,79,F,fit
39,172,78,F,not_fit
9,101,12,M,not_fit
19,166,68,F,fit
21,174,47,M,fit
21,175,78,M,not_fit
9,103,13,M,not_fit
31,170,89,M,not_fit
33,190,53,M,fit
7,110,20,M,fit
11,142,42,F,fit
8,103,23,F,fit
10,168,45,F,fit
30,157,84,F,not_fit
21,168,52,M,fit
13,148,36,M,fit
36,186,86,M,fit
24,185,104,M,not_fit
33,177,97,F,not_fit
13,179,31,M,not_fit
35,172,63,M,fit
21,189,48,F,not_fit
29,172,74,F,not_fit
28,151,68,F,not_fit
31,150,70,F,not_fit
17,142,70,M,not_fit
40,155,103,M,not_fit
25,183,98,F,not_fit
16,178,65,M,fit
28,161,65,M,not_fit
21,182,110,M,not_fit
36,153,108,F,not_fit
25,180,82,F,not_fit
13,155,64,F,not_fit
31,158,57,M,fit
23,176,94,F,not_fit
19,173,96,M,not_fit
35,181,58,M,fit
20,182,86,F,not_fit
24,160,104,F,not_fit
8,119,19,M,not_fit
29,174,109,M,not_fit
11,132,63,M,not_fit
34,161,64,F,fit
35,165,110,F,not_fit
7,126,24,M,fit
13,161,56,F,fit
31,156,103,M,not_fit
28,166,74,M,not_fit
21,164,85,F,not_fit
20,176,85,M,not_fit
32,163,92,F,not_fit
13,135,33,F,fit
17,168,65,F,fit
20,188,62,M,fit
7,112,20,F,fit
26,166,63,F,fit
24,179,95,M,not_fit
12,169,39,M,not_fit
7,93,18,F,fit
30,176,63,M,fit
34,156,76,F,not_fit
6,133,26,M,fit
16,167,42,M,fit
20,187,76,F,fit
20,184,50,F,fit
31,157,72,M,not_fit
23,177,76,F,fit
38,175,86,M,not_fit
25,158,78,F,not_fit
21,166,59,M,fit
23,179,45,M,fit
11,165,56,M,fit
25,151,83,M,not_fit
21,158,54,F,fit
20,158,100,F,not_fit
35,152,92,M,not_fit
33,164,78,F,not_fit
22,185,67,M,fit
32,181,79,M,fit
20,169,64,F,fit
29,161,103,M,not_fit
19,189,58,F,fit
28,158,78,F,not_fit
40,185,55,M,fit
26,175,84,F,not_fit
26,168,99,M,not_fit
29,160,45,F,fit
26,167,72,M,not_fit
39,167,107,M,not_fit
38,163,49,M,fit
23,168,100,F,not_fit
12,146,42,M,fit
12,140,57,F,not_fit
31,153,71,F,not_fit
21,185,53,F,fit
26,173,62,F,fit
10,169,42,M,fit
13,175,52,M,fit
37,181,56,M,fit
21,163,106,F,not_fit
34,173,78,F,not_fit
34,157,85,M,not_fit
16,136,64,F,not_fit
38,159,51,M,fit
30,189,98,M,not_fit
7,97,35,M,not_fit
18,188,59,M,fit
18,155,84,F,not_fit
34,157,86,M,not_fit
31,180,61,M,fit
15,134,31,M,fit
18,174,76,M,not_fit
21,170,105,F,not_fit
30,189,45,M,not_fit
33,163,70,F,not_fit
10,178,55,M,fit
6,92,24,M,not_fit
29,188,90,F,not_fit
35,186,92,F,not_fit
7,103,27,M,not_fit
18,173,50,M,fit
28,166,65,M,fit
19,172,94,M,not_fit
38,181,50,F,fit
20,153,93,F,not_fit
11,130,42,F,fit
31,189,85,M,fit
34,165,51,M,fit
28,183,103,M,not_fit
10,160,41,F,fit
25,158,109,F,not_fit
6,105,34,F,not_fit
38,187,109,M,not_fit
26,173,104,M,not_fit
12,163,57,M,fit
35,175,93,M,not_fit
21,158,107,F,not_fit
38,176,105,M,not_fit
39,172,108,F,not_fit
19,170,56,M,fit
14,153,63,F,not_fit
18,168,53,M,fit
7,118,16,F,not_fit
36,175,108,F,not_fit
5,108,20,F,fit
22,159,92,M,not_fit
15,176,45,M,fit
38,170,66,F,fit
6,109,33,F,not_fit
11,165,30,M,not_fit
30,156,68,F,not_fit
30,164,82,M,not_fit
26,156,72,F,not_fit
16,138,44,F,fit
35,172,102,M,not_fit
30,165,58,F,fit
37,189,72,F,fit
30,158,58,M,fit
11,165,58,F,fit
11,136,40,F,fit
21,174,90,F,not_fit
11,175,39,F,not_fit
20,179,77,F,fit
35,168,75,F,not_fit
32,159,85,F,not_fit
13,164,53,F,fit
8,102,21,F,fit
8,99,27,M,not_fit
16,141,47,M,fit
34,184,69,F,fit
30,189,54,F,fit
32,190,85,F,fit
19,175,57,M,fit
12,161,46,F,fit
29,190,76,M,fit
25,173,56,M,fit
20,156,92,F,not_fit
32,178,83,M,not_fit
36,189,51,M,fit
39,172,75,M,not_fit
27,187,52,F,fit
26,163,104,F,not_fit
16,149,55,M,fit
17,144,46,F,fit
15,137,32,F,fit
15,148,69,F,not_fit
35,167,65,F,fit
12,158,70,F,not_fit
5,102,26,M,fit
22,150,73,F,not_fit
21,174,59,F,fit
39,166,79,M,not_fit
33,166,92,M,not_fit
14,152,49,M,fit
33,164,55,F,fit
35,180,91,F,not_fit
25,158,106,M,not_fit
13,153,68,M,not_fit
32,173,48,F,fit
35,175,102,F,not_fit
34,174,98,M,not_fit
27,160,57,M,fit
15,131,51,M,not_fit
30,160,99,F,not_fit
30,160,54,M,fit
21,156,98,M,not_fit
21,173,85,M,not_fit
7,123,34,M,fit
34,155,95,F,not_fit
37,167,101,M,not_fit
6,136,17,M,not_fit
37,188,51,F,fit
9,138,13,F,not_fit
40,171,47,M,fit
37,150,73,M,not_fit
29,184,47,F,not_fit
16,146,59,F,not_fit
33,152,64,F,not_fit
33,177,90,F,not_fit
10,180,61,M,fit
24,154,104,M,not_fit
17,151,67,F,not_fit
31,174,48,F,fit
12,152,51,M,fit
9,129,14,M,not_fit
38,188,90,M,not_fit
25,187,98,M,not_fit
25,154,80,M,not_fit
10,173,50,M,fit
14,135,61,F,not_fit
14,156,44,F,fit
13,140,45,M,fit
38,170,91,F,not_fit
34,167,94,F,not_fit
7,123,24,F,fit
17,130,48,F,not_fit
